idade,faixa_etaria
0,0 a 4
1,0 a 4
2,0 a 4
3,0 a 4
4,0 a 4
5,5 a 9
6,5 a 9
7,5 a 9
8,5 a 9
9,5 a 9
10,10 a 14
11,10 a 14
12,10 a 14
13,10 a 14
14,10 a 14
15,15 a 19
16,15 a 19
17,15 a 19
18,15 a 19
19,15 a 19
20,20 a 24
21,20 a 24
22,20 a 24
23,20 a 24
24,20 a 24
25,25 a 29
26,25 a 29
27,25 a 29
28,25 a 29
29,25 a 29
30,30 a 34
31,30 a 34
32,30 a 34
33,30 a 34
34,30 a 34
35,35 a 39
36,35 a 39
37,35 a 39
38,35 a 39
39,35 a 39
40,40 a 44
41,40 a 44
42,40 a 44
43,40 a 44
44,40 a 44
45,45 a 49
46,45 a 49
47,45 a 49
48,45 a 49
49,45 a 49
50,50 a 54
51,50 a 54
52,50 a 54
53,50 a 54
54,50 a 54
55,55 a 59
56,55 a 59
57,55 a 59
58,55 a 59
59,55 a 59
60,60 a 64
61,60 a 64
62,60 a 64
63,60 a 64
64,60 a 64
65,65 a 69
66,65 a 69
67,65 a 69
68,65 a 69
69,65 a 69
70,70 a 74
71,70 a 74
72,70 a 74
73,70 a 74
74,70 a 74
75,75 e 79
76,75 e 79
77,75 e 79
78,75 e 79
79,75 e 79
80,80 a 84
81,80 a 84
82,80 a 84
83,80 a 84
84,80 a 84
85,85 a 89
86,85 a 89
87,85 a 89
88,85 a 89
89,85 a 89
90,90 e mais
91,90 e mais
92,90 e mais
93,90 e mais
94,90 e mais
95,90 e mais
96,90 e mais
97,90 e mais
98,90 e mais
99,90 e mais
100,90 e mais
101,90 e mais
102,90 e mais
103,90 e mais
104,90 e mais
105,90 e mais
106,90 e mais
107,90 e mais
108,90 e mais
109,90 e mais
110,90 e mais
111,90 e mais
112,90 e mais
113,90 e mais
114,90 e mais
115,90 e mais
116,90 e mais
117,90 e mais
118,90 e mais
119,90 e mais
120,90 e mais
121,90 e mais
122,90 e mais
123,90 e mais
124,90 e mais
125,90 e mais
126,90 e mais
127,90 e mais
128,90 e mais
129,90 e mais
130,90 e mais
131,90 e mais
