registro_ans,fonte
0,Outros
19,Outros
27,Seguradora Especializada em Saúde
43,Seguradora Especializada em Saúde
361,Seguradora Especializada em Saúde
477,Seguradora Especializada em Saúde
515,Seguradora Especializada em Saúde
582,Seguradora Especializada em Saúde
701,Seguradora Especializada em Saúde
884,Seguradora Especializada em Saúde
1000,Cooperativa Médica
5622,Seguradora Especializada em Saúde
5711,Seguradora Especializada em Saúde
6246,Seguradora Especializada em Saúde
6980,Seguradora Especializada em Saúde
123456,Outros
300012,Medicina de Grupo
300136,Cooperativa Médica
300713,Cooperativa Médica
300748,Filantropia
300870,Cooperativa Médica
300926,Medicina de Grupo
301043,Medicina de Grupo
301060,Cooperativa Médica
301124,Cooperativa Médica
301311,Cooperativa Médica
301337,Cooperativa Médica
301396,Medicina de Grupo
301574,Cooperativa Médica
301728,Medicina de Grupo
301744,Cooperativa Médica
301906,Medicina de Grupo
302091,Autogestão
302147,Medicina de Grupo
302228,Cooperativa Médica
302490,Medicina de Grupo
302627,Autogestão
302694,Medicina de Grupo
302872,Medicina de Grupo
302881,Filantropia
302953,Cooperativa Médica
303178,Cooperativa Médica
303267,Cooperativa Médica
303356,Cooperativa Médica
303364,Medicina de Grupo
303623,Medicina de Grupo
303691,Medicina de Grupo
303739,Medicina de Grupo
303844,Cooperativa Médica
303976,Cooperativa Médica
304051,Cooperativa Médica
304107,Medicina de Grupo
304123,Cooperativa Médica
304131,Autogestão
304158,Cooperativa Médica
304212,Medicina de Grupo
304344,Cooperativa Médica
304395,Cooperativa Médica
304468,Cooperativa Médica
304476,Cooperativa Médica
304531,Medicina de Grupo
304697,Autogestão
304701,Cooperativa Médica
304883,Cooperativa Médica
305227,Cooperativa Médica
305472,Cooperativa Médica
305626,Medicina de Grupo
305928,Medicina de Grupo
305995,Medicina de Grupo
306045,Filantropia
306100,Cooperativa Médica
306126,Cooperativa Médica
306207,Filantropia
306398,Cooperativa Médica
306428,Filantropia
306444,Medicina de Grupo
306525,Autogestão
306622,Medicina de Grupo
306649,Medicina de Grupo
306665,Cooperativa Médica
306754,Autogestão
306762,Cooperativa Médica
306886,Cooperativa Médica
306959,Cooperativa Médica
307319,Autogestão
307751,Autogestão
308005,Filantropia
308811,Cooperativa Médica
309028,Medicina de Grupo
309087,Cooperativa Médica
309192,Medicina de Grupo
309222,Medicina de Grupo
309231,Medicina de Grupo
309338,Medicina de Grupo
309362,Autogestão
309401,Medicina de Grupo
309524,Cooperativa Médica
309699,Medicina de Grupo
309711,Autogestão
309877,Cooperativa Médica
309907,Cooperativa Médica
310131,Cooperativa Médica
310239,Medicina de Grupo
310247,Medicina de Grupo
310301,Administradora de Benefícios
310344,Filantropia
310361,Filantropia
310522,Medicina de Grupo
310581,Medicina de Grupo
310786,Autogestão
310891,Filantropia
311057,Cooperativa Médica
311146,Cooperativa Médica
311294,Cooperativa Médica
311359,Medicina de Grupo
311375,Cooperativa Médica
311405,Medicina de Grupo
311472,Medicina de Grupo
311499,Filantropia
311618,Cooperativa Médica
311634,Autogestão
311715,Cooperativa Médica
311847,Cooperativa Médica
311944,Cooperativa Médica
311961,Cooperativa Médica
312126,Autogestão
312282,Medicina de Grupo
312304,Autogestão
312347,Cooperativa Médica
312363,Cooperativa Médica
312509,Cooperativa Médica
312592,Cooperativa Médica
312649,Cooperativa Médica
312720,Cooperativa Médica
312762,Medicina de Grupo
312851,Cooperativa Médica
312924,Autogestão
313084,Cooperativa Médica
313149,Cooperativa Médica
313211,Cooperativa Médica
313378,Filantropia
313475,Cooperativa Médica
313904,Autogestão
313955,Cooperativa Médica
313971,Cooperativa Médica
314099,Cooperativa Médica
314102,Filantropia
314170,Medicina de Grupo
314218,Filantropia
314242,Cooperativa Médica
314251,Autogestão
314587,Cooperativa Médica
314609,Medicina de Grupo
314668,Autogestão
314706,Filantropia
314781,Cooperativa Médica
315044,Autogestão
315265,Medicina de Grupo
315478,Autogestão
315494,Cooperativa Médica
315516,Medicina de Grupo
315567,Autogestão
315583,Autogestão
315630,Medicina de Grupo
315648,Cooperativa Médica
315681,Filantropia
315729,Cooperativa Médica
315796,Cooperativa Médica
315893,Filantropia
316148,Cooperativa Médica
316172,Cooperativa Médica
316296,Medicina de Grupo
316458,Cooperativa Médica
316491,Filantropia
316741,Cooperativa Médica
316849,Autogestão
316873,Autogestão
316881,Cooperativa Médica
316903,Medicina de Grupo
317012,Cooperativa Médica
317144,Cooperativa Médica
317187,Cooperativa Médica
317233,Autogestão
317306,Medicina de Grupo
317632,Autogestão
317896,Cooperativa Médica
318035,Cooperativa Médica
318213,Cooperativa Médica
318299,Filantropia
318388,Cooperativa Médica
318477,Medicina de Grupo
318566,Cooperativa Médica
319121,Cooperativa Médica
319147,Medicina de Grupo
319180,Medicina de Grupo
319368,Medicina de Grupo
319384,Cooperativa Médica
319422,Filantropia
319597,Cooperativa Médica
319708,Cooperativa Médica
319872,Medicina de Grupo
319996,Cooperativa Médica
320251,Cooperativa Médica
320269,Medicina de Grupo
320510,Cooperativa Médica
320587,Autogestão
320633,Autogestão
320684,Filantropia
