leito,unidade
AP EX115,Extra CC
AP EX116,Extra CC
AP EX117,Extra CC
AP EX118,Extra CC
AP EX119,Extra CC
AP EX120,Extra CC
APT 01,Térreo
APT 02,Térreo
APT 03,Térreo
APT 10,Térreo
APT 101,1º Andar 1
APT 102,1º Andar 1
APT 103,1º Andar 1
APT 104,1º Andar 1
APT 105,1º Andar 1
APT 105V,1º Andar 1
APT 106,1º Andar 1
APT 107,1º Andar 1
APT 108,1º Andar 1
APT 109,1º Andar 1
APT 11,Térreo
APT 110,1º Andar 1
APT 111,1º Andar 1
APT 112,1º Andar 1
APT 113,1º Andar 1
APT 114,1º Andar 1
APT 115,1º Andar 1
APT 116,1º Andar 1
APT 117,1º Andar 1
APT 118,1º Andar 1
APT 119,1º Andar 1
APT 12,Térreo
APT 120,1º Andar 1
APT 13,Térreo
APT 14,Térreo
APT 15,Térreo
APT 16,Térreo
APT 220,2º Andar 2
APT 221,2º Andar 2
APT 222,2º Andar 2
APT 223,2º Andar 2
APT 224,2º Andar 2
APT 225,2º Andar 2
APT 226,2º Andar 2
APT 227,2º Andar 2
APTO 118,1º Andar 2
APTO 119,1º Andar 2
APTO 120,1º Andar 2
APTO 121,1º Andar 2
APTO 122,1º Andar 2
APTO 123,1º Andar 2
APTO 124,1º Andar 2
APTO 125,1º Andar 2
APTO 126,1º Andar 2
APTO 127,1º Andar 2
APTO 128,1º Andar 2
APTO 129,1º Andar 2
APTO 130,1º Andar 2
APTO 131,1º Andar 2
APTO 132,1º Andar 2
APTO 133,1º Andar 2
APTO 134,1º Andar 2
APTO 136,1º Andar 2
APTO 137,1º Andar 2
APTO 301,0º Andar SS
APTO 302,0º Andar SS
APTO 304,0º Andar SS
APTO 305,0º Andar SS
APTO 306,0º Andar SS
APTO 309,0º Andar SS
APTO02PA,PA
APTO04PA,PA
APTO06PA,PA
APTO08PA,PA
APTO135V,1º Andar 2
APTO13OV,1º Andar 2
BE 01,Berçario
BE 02,Berçario
BE 03,Berçario
BE 04,Berçario
BE 05,Berçario
BE 06,Berçario
BE 07,Berçario
BE 08,Berçario
BE 09,Berçario
BE 10,Berçario
BE 11,Berçario
BE 12,Berçario
BE 13,Berçario
BE 14,Berçario
BE 15,Berçario
BE EX 01,Berçario
BE EX 02,Berçario
ENF 121A,1º Andar 2
ENF 121B,1º Andar 2
ENF 122A,1º Andar 2
ENF 122B,1º Andar 2
ENF 123A,1º Andar 2
ENF 123B,1º Andar 2
ENF 124A,1º Andar 2
ENF 124B,1º Andar 2
ENF 125A,1º Andar 2
ENF 125B,1º Andar 2
ENF 126A,1º Andar 2
ENF 126B,1º Andar 2
ENF 127A,1º Andar 2
ENF 127B,1º Andar 2
ENF 128A,1º Andar 2
ENF 128B,1º Andar 2
ENF 129A,1º Andar 2
ENF 129B,1º Andar 2
ENF 130A,1º Andar 2
ENF 130B,1º Andar 2
ENF 301A,0º Andar SS
ENF 301B,0º Andar SS
ENF 301C,0º Andar SS
ENF 302A,0º Andar SS
ENF 302B,0º Andar SS
ENF 302C,0º Andar SS
ENF 303A,0º Andar SS
ENF 303B,0º Andar SS
ENF 303C,0º Andar SS
ENF 304A,0º Andar SS
ENF 304B,0º Andar SS
ENF 304C,0º Andar SS
ENF 305A,0º Andar SS
ENF 305B,0º Andar SS
ENF 305C,0º Andar SS
ENF 306A,0º Andar SS
ENF 306B,0º Andar SS
ENF 306C,0º Andar SS
ENF 307A,0º Andar SS
ENF 307B,0º Andar SS
ENF 307C,0º Andar SS
ENF 308A,0º Andar SS
ENF 308B,0º Andar SS
ENF 308C,0º Andar SS
ENF 4A,Térreo
ENF 4B,Térreo
ENF 5A,Térreo
ENF 5B,Térreo
ENF 6A,Térreo
ENF 6B,Térreo
ENF 7A,Térreo
ENF 7B,Térreo
ENF01PA,PA
ENF02PA,PA
ENF04PA,PA
ENF05PA,PA
ENF08PA,PA
ENF13PA,PA
EX GO 01,Térreo
EXENF 01,PA
EXENF02,PA
EXENF03,PA
EXENF04,PA
EXENF05,PA
EXENF06,PA
EXENF07,PA
EXENF08,PA
EXENF09,PA
EXENF10,PA
EXINT 01,Extra CC
EXINT 02,Extra CC
EXINT 03,Extra CC
EXINT 04,Extra CC
EXINT 05,Extra CC
EXINT 06,Extra CC
EXINT 07,Extra CC
EXINT 08,Extra CC
EXINT 09,Extra CC
EXINT 10,Extra CC
EXINT 11,Extra CC
EXINT 13,Extra CC
EXINT 14,Extra CC
EXINT 15,Extra CC
EXT 01,Extra CC
EXT 02,Extra CC
EXT 03,Extra CC
EXT 04,Extra CC
EXT 05,Extra CC
EXT 06,Extra CC
EXT 07,Extra CC
EXT 08,Extra CC
EXT 09,Extra CC
EXT 10,Extra CC
EXT 11,Extra CC
EXT 12,Extra CC
EXT 13,Extra CC
EXT 14,Extra CC
EXT 15,Extra CC
EXT 16,Extra CC
EXT 17,Extra CC
EXT 18,Extra CC
EXT 19,Extra CC
EXT 20,Extra CC
HEMOD,Extra Hemod
LEITO 04,PA
LEITO 06,PA
LEITO 10,PA
LEITO 12,PA
LEITO 17,PA
LEITO 18,PA
LEITO 19,PA
LEITO 20,PA
LEITO 21,PA
LEITO 22,PA
PA,PA
PA 01,PA
PA 02,PA
PA 03,PA
PA 04,PA
PA 05,PA
PA 06,PA
PA 07,PA
PA 08,PA
PA 09,PA
PA 10,PA
PA 11,PA
PA 12,PA
PA 13,PA
PA 14,PA
PACOV01,PA
PACOV02,PA
PACOV03,PA
PACOV05,PA
PACOV06,PA
PACOV08,PA
PACOV09,PA
PACOV10,PA
PACOV11,PA
S VER 01,PA
S VER 02,PA
SUIT 112,1º Andar 1
SUITE,Térreo
SUITE 08,Térreo
UCO 01,UCO
UCO 02,UCO
UCO 03,UCO
UCO 04,UCO
UCO 05,UCO
UCO 06,UCO
UCO 07,UCO
UCO 07A,UCO
UCO 07B,UCO
UCO 08,UCO
UCO 09,UCO
UCO 10,UCO
UCO 11,UCO
UCO 12,UCO
UCO 13,UCO
UCO 14,UCO
UCO 15,UCO
UCO 16,UCO
UCO 17,UCO
UCO 18,UCO
UCO 19,UCO
UCO 20,UCO
UNEO 04,UTI Neo
UNEO 06,UTI Neo
UNEO 07,UTI Neo
UNEO 08,UTI Neo
UNEO 09,UTI Neo
UNN 01,UTI Neo
UNN 02,UTI Neo
UNN 03,UTI Neo
UNN 04,UTI Neo
UNN 05,UTI Neo
